City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ondjiva,AO,2022-02-05 02:17:40,-17.0667,15.7333,67.35,83,100,5.21
1,Hasaki,JP,2022-02-05 02:08:51,35.7333,140.8333,45.28,38,6,18.07
2,Yomou,GN,2022-02-05 02:17:40,7.5603,-9.2653,65.34,58,2,0.74
3,Viedma,AR,2022-02-05 02:17:41,-40.8135,-62.9967,64.09,68,100,21.94
4,Puerto Ayora,EC,2022-02-05 02:17:41,-0.7393,-90.3518,75.54,92,75,3.0
5,Punta Arenas,CL,2022-02-05 02:17:42,-53.15,-70.9167,46.51,71,0,3.44
6,Darhan,MN,2022-02-05 02:17:42,49.4867,105.9228,-4.72,93,21,5.99
7,Longyearbyen,SJ,2022-02-05 02:17:42,78.2186,15.6401,15.64,53,20,20.71
8,Busselton,AU,2022-02-05 02:17:43,-33.65,115.3333,95.09,30,14,6.62
9,Kapaa,US,2022-02-05 02:17:43,22.0752,-159.319,78.78,80,40,8.05
10,Buin,CL,2022-02-05 02:17:43,-33.7333,-70.75,72.73,57,0,2.95
11,La Guama,HN,2022-02-05 02:17:44,14.8833,-87.9333,71.04,95,33,2.15
12,Talnakh,RU,2022-02-05 02:10:46,69.4865,88.3972,-6.95,97,91,4.97
13,Pingzhuang,CN,2022-02-05 02:17:44,42.0372,119.2889,17.37,36,0,13.8
14,Nikolskoye,RU,2022-02-05 02:13:06,59.7035,30.7861,18.39,88,99,11.95
15,Yellowknife,CA,2022-02-05 02:15:57,62.456,-114.3525,-26.45,76,100,5.75
16,Havoysund,NO,2022-02-05 02:14:26,70.9963,24.6622,18.48,77,100,23.31
17,Nizhniy Tsasuchey,RU,2022-02-05 02:17:45,50.5167,115.1333,6.73,75,34,13.62
18,Port Elizabeth,ZA,2022-02-05 02:17:46,-33.918,25.5701,67.1,82,75,2.3
19,Arraial Do Cabo,BR,2022-02-05 02:14:40,-22.9661,-42.0278,75.97,86,100,21.81
20,Simao,CN,2022-02-05 02:17:46,22.7886,100.9748,60.15,63,0,3.15
21,Vaini,TO,2022-02-05 02:08:52,-21.2,-175.2,77.16,94,75,13.8
22,Iranshahr,IR,2022-02-05 02:17:47,27.2025,60.6848,52.14,24,0,6.91
23,Mataura,NZ,2022-02-05 02:17:47,-46.1927,168.8643,59.49,37,10,3.56
24,Brigantine,US,2022-02-05 02:17:33,39.4101,-74.3646,37.06,98,100,16.11
25,Katsuura,JP,2022-02-05 02:14:33,35.1333,140.3,44.71,42,96,12.48
26,Rikitea,PF,2022-02-05 02:17:48,-23.1203,-134.9692,79.05,68,4,7.18
27,Esperance,AU,2022-02-05 02:15:35,-33.8667,121.9,79.93,47,3,9.15
28,Ushuaia,AR,2022-02-05 02:14:48,-54.8,-68.3,47.86,71,0,6.91
29,Butaritari,KI,2022-02-05 02:17:49,3.0707,172.7902,82.62,77,47,18.12
30,Inhambane,MZ,2022-02-05 02:17:49,-23.865,35.3833,78.15,72,98,9.6
31,Hamilton,US,2022-02-05 02:16:40,39.1834,-84.5333,20.64,79,100,8.05
32,Cayenne,GF,2022-02-05 02:17:50,4.9333,-52.3333,79.09,88,75,5.99
33,Bethel,US,2022-02-05 02:08:25,41.3712,-73.414,31.05,83,100,9.22
34,Cape Town,ZA,2022-02-05 02:16:50,-33.9258,18.4232,65.88,68,0,5.01
35,Balkanabat,TM,2022-02-05 02:17:51,39.5108,54.3671,53.33,52,99,6.62
36,Thinadhoo,MV,2022-02-05 02:17:51,0.5333,72.9333,81.72,73,100,12.3
37,Muncar,ID,2022-02-05 02:17:52,-8.4333,114.3333,79.97,76,94,3.18
38,Tuktoyaktuk,CA,2022-02-05 02:11:58,69.4541,-133.0374,-20.78,94,13,13.22
39,Airai,TL,2022-02-05 02:13:22,-8.9266,125.4092,71.62,69,100,2.1
40,Ilulissat,GL,2022-02-05 02:13:01,69.2167,-51.1,10.42,67,75,13.8
41,Surt,LY,2022-02-05 02:17:52,31.2089,16.5887,54.57,54,12,11.63
42,Kaeo,NZ,2022-02-05 02:15:15,-35.1,173.7833,76.32,87,48,12.64
43,East London,ZA,2022-02-05 02:17:53,-33.0153,27.9116,68.38,89,100,7.65
44,Nanortalik,GL,2022-02-05 02:08:58,60.1432,-45.2371,11.89,65,94,39.62
45,Verdun,FR,2022-02-05 02:17:54,49.25,5.3333,36.7,95,64,7.81
46,Coruripe,BR,2022-02-05 02:17:54,-10.1256,-36.1756,78.58,74,8,9.55
47,Odweyne,SO,2022-02-05 02:17:55,9.4092,45.064,62.17,49,2,6.82
48,Yulara,AU,2022-02-05 02:12:00,-25.2406,130.9889,80.04,21,0,11.32
49,Lagos,NG,2022-02-05 02:17:12,6.5833,3.75,80.92,91,1,3.4
50,Pevek,RU,2022-02-05 02:10:43,69.7008,170.3133,-24.09,100,100,5.21
51,Albany,US,2022-02-05 02:18:34,42.6001,-73.9662,17.91,84,100,1.01
52,Sola,VU,2022-02-05 02:18:56,-13.8833,167.55,82.51,77,100,21.65
53,Miramar,US,2022-02-05 02:18:56,25.9873,-80.2323,74.01,83,0,0.0
54,Saint George,US,2022-02-05 02:14:14,37.1041,-113.5841,44.44,27,0,3.44
55,Paka,MY,2022-02-05 02:18:57,4.6374,103.4368,84.13,74,40,10.36
56,Amapa,BR,2022-02-05 02:18:57,1.0,-52.0,71.13,99,75,1.59
57,Hobart,AU,2022-02-05 02:15:02,-42.8794,147.3294,67.26,72,75,8.05
58,Cabo San Lucas,MX,2022-02-05 02:18:58,22.8909,-109.9124,67.51,68,0,3.44
59,Yerbogachen,RU,2022-02-05 02:18:58,61.2767,108.0108,-17.41,100,96,3.8
60,Jamestown,US,2022-02-05 02:06:11,42.097,-79.2353,18.72,66,100,5.75
61,Lalmohan,BD,2022-02-05 02:18:59,22.3384,90.7419,68.52,81,1,3.56
62,Port Blair,IN,2022-02-05 02:19:00,11.6667,92.75,82.44,78,40,9.22
63,San Cristobal,VE,2022-02-05 02:09:32,7.7669,-72.225,71.78,90,57,1.86
64,Alyangula,AU,2022-02-05 02:19:01,-13.8483,136.4192,78.67,94,100,8.05
65,Pacific Grove,US,2022-02-05 02:19:01,36.6177,-121.9166,59.4,60,0,1.99
66,Casino,AU,2022-02-05 02:19:01,-28.8667,153.05,76.57,58,57,13.15
67,Qaanaaq,GL,2022-02-05 02:19:02,77.484,-69.3632,1.17,70,100,6.51
68,Port Alfred,ZA,2022-02-05 02:19:02,-33.5906,26.891,68.86,81,94,8.63
69,Alofi,NU,2022-02-05 02:19:02,-19.0595,-169.9187,76.89,94,100,8.05
70,Lompoc,US,2022-02-05 02:19:03,34.6391,-120.4579,57.78,68,0,4.61
71,Hilo,US,2022-02-05 02:19:03,19.7297,-155.09,78.53,80,20,8.05
72,Kolokani,ML,2022-02-05 02:19:04,13.5728,-8.0339,66.42,15,0,8.5
73,Saint-Philippe,RE,2022-02-05 02:09:41,-21.3585,55.7679,80.19,89,100,25.64
74,Barrow,US,2022-02-05 02:14:04,71.2906,-156.7887,-20.18,69,100,9.22
75,Saskylakh,RU,2022-02-05 02:19:04,71.9167,114.0833,-9.0,99,99,5.28
76,Roszke,HU,2022-02-05 02:19:05,46.188,20.0337,37.18,75,100,6.67
